codigo,componente,anos,organizacao_tipo,unidade_tematica,campos_atuacao,pratica_linguagem,eixo,objetos_conhecimento,texto,vigencia_status,fonte_localizador,fonte_localizador_pdf
EF01LP01,ef-comp-lp,1,campo_pratica,,ef-comp-lp-catu-todos-os-campos-de-atuacao,ef-comp-lp-prat-leitura-escuta-compartilhada-e-autonoma,,ef-comp-lp-oc-protocolos-de-leitura,Reconhecer que textos são lidos e escritos da esquerda para a direita e de cima para baixo da página.,vigente,"aba Língua Portuguesa, linha 4","Base-Nacional-Comum-Curricular-BNCC.pdf, página PDF 101"
EF01LP02,ef-comp-lp,1,campo_pratica,,ef-comp-lp-catu-todos-os-campos-de-atuacao,ef-comp-lp-prat-escrita-compartilhada-e-autonoma,,ef-comp-lp-oc-correspondencia-fonema-grafema,"Escrever, espontaneamente ou por ditado, palavras e frases de forma alfabética – usando letras/grafemas que representem fonemas.",vigente,"aba Língua Portuguesa, linha 5","Base-Nacional-Comum-Curricular-BNCC.pdf, página PDF 101"
EF01LP03,ef-comp-lp,1,campo_pratica,,ef-comp-lp-catu-todos-os-campos-de-atuacao,ef-comp-lp-prat-escrita-compartilhada-e-autonoma,,ef-comp-lp-oc-construcao-do-sistema-alfabetico-convencoes-da-escrita,"Observar escritas convencionais, comparando-as às suas produções escritas, percebendo semelhanças e diferenças.",vigente,"aba Língua Portuguesa, linha 6","Base-Nacional-Comum-Curricular-BNCC.pdf, página PDF 101"
EF01LP04,ef-comp-lp,1,campo_pratica,,ef-comp-lp-catu-todos-os-campos-de-atuacao,ef-comp-lp-prat-analise-linguistica-semiotica-alfabetizacao,,ef-comp-lp-oc-conhecimento-do-alfabeto-do-portugues-do-brasil,Distinguir as letras do alfabeto de outros sinais gráficos.,vigente,"aba Língua Portuguesa, linha 7","Base-Nacional-Comum-Curricular-BNCC.pdf, página PDF 101"
EF01LP05,ef-comp-lp,1,campo_pratica,,ef-comp-lp-catu-todos-os-campos-de-atuacao,ef-comp-lp-prat-analise-linguistica-semiotica-alfabetizacao,,ef-comp-lp-oc-construcao-do-sistema-alfabetico,Reconhecer o sistema de escrita alfabética como representação dos sons da fala.,vigente,"aba Língua Portuguesa, linha 8","Base-Nacional-Comum-Curricular-BNCC.pdf, página PDF 101"
EF01LP06,ef-comp-lp,1,campo_pratica,,ef-comp-lp-catu-todos-os-campos-de-atuacao,ef-comp-lp-prat-analise-linguistica-semiotica-alfabetizacao,,ef-comp-lp-oc-construcao-do-sistema-alfabetico-e-da-ortografia,Segmentar oralmente palavras em sílabas.,vigente,"aba Língua Portuguesa, linha 9","Base-Nacional-Comum-Curricular-BNCC.pdf, página PDF 101"
EF01LP07,ef-comp-lp,1,campo_pratica,,ef-comp-lp-catu-todos-os-campos-de-atuacao,ef-comp-lp-prat-analise-linguistica-semiotica-alfabetizacao,,ef-comp-lp-oc-construcao-do-sistema-alfabetico-e-da-ortografia,Identificar fonemas e sua representação por letras.,vigente,"aba Língua Portuguesa, linha 10","Base-Nacional-Comum-Curricular-BNCC.pdf, página PDF 101"
EF01LP08,ef-comp-lp,1,campo_pratica,,ef-comp-lp-catu-todos-os-campos-de-atuacao,ef-comp-lp-prat-analise-linguistica-semiotica-alfabetizacao,,ef-comp-lp-oc-construcao-do-sistema-alfabetico-e-da-ortografia,"Relacionar elementos sonoros (sílabas, fonemas, partes de palavras) com sua representação escrita.",vigente,"aba Língua Portuguesa, linha 11","Base-Nacional-Comum-Curricular-BNCC.pdf, página PDF 103"
EF01LP09,ef-comp-lp,1,campo_pratica,,ef-comp-lp-catu-todos-os-campos-de-atuacao,ef-comp-lp-prat-analise-linguistica-semiotica-alfabetizacao,,ef-comp-lp-oc-construcao-do-sistema-alfabetico-e-da-ortografia,"Comparar palavras, identificando semelhanças e diferenças entre sons de sílabas iniciais.",vigente,"aba Língua Portuguesa, linha 12","Base-Nacional-Comum-Curricular-BNCC.pdf, página PDF 103"
EF01LP10,ef-comp-lp,1,campo_pratica,,ef-comp-lp-catu-todos-os-campos-de-atuacao,ef-comp-lp-prat-analise-linguistica-semiotica-alfabetizacao,,ef-comp-lp-oc-conhecimento-do-alfabeto-do-portugues-do-brasil,Nomear as letras do alfabeto e recitá-lo na ordem das letras.,vigente,"aba Língua Portuguesa, linha 13","Base-Nacional-Comum-Curricular-BNCC.pdf, página PDF 103"
